영업일자,상품분류,상품명,판매수량
2021-03-06,식료,카페라떼(HOT),4
2021-03-06,식료,카페라떼(ICE),5
2021-03-06,식료,바닐라라떼(HOT),2
2021-03-06,식료,바닐라라떼(ICE),2
2021-03-06,식료,카페모카(HOT),2
2021-03-06,식료,초코라떼(HOT),3
2021-03-06,식료,초코라떼(ICE),1
2021-03-06,식료,그린티라떼(HOT) ,1
2021-03-06,식료,그린티라떼(ICE) ,1
2021-03-06,식료,흑당라떼(HOT),1
2021-03-06,식료,흑당라떼(ICE),1
2021-03-06,식료,아이스티,4
2021-03-06,식료,자두주스(ICE),1
2021-03-06,식료,스위티자몽(HOT),2
2021-03-06,식료,스위티자몽(ICE),2
2021-03-06,식료,청포도주스(ICE),4
2021-03-06,식료,아메리카노(HOT),18
2021-03-06,식료,아메리카노(ICE),21
2021-03-07,식료,카페라떼(HOT),1
2021-03-07,식료,카페라떼(ICE),4
2021-03-07,식료,카푸치노(HOT),1
2021-03-07,식료,바닐라라떼(HOT),4
2021-03-07,식료,카페모카(HOT),1
2021-03-07,식료,카페모카(ICE),1
2021-03-07,식료,초코라떼(ICE),1
2021-03-07,식료,그린티라떼(HOT) ,2
2021-03-07,식료,아이스티,1
2021-03-07,식료,스위티자몽(HOT),1
2021-03-07,식료,스위티자몽(ICE),1
2021-03-07,식료,청포도주스(ICE),5
2021-03-07,식료,아메리카노(HOT),22
2021-03-07,식료,아메리카노(ICE),19
2021-03-08,식료,카페라떼(HOT),3
2021-03-08,식료,카페라떼(ICE),1
2021-03-08,식료,카푸치노(HOT),1
2021-03-08,식료,바닐라라떼(HOT),1
2021-03-08,식료,바닐라라떼(ICE),2
2021-03-08,식료,카페모카(HOT),2
2021-03-08,식료,초코라떼(HOT),1
2021-03-08,식료,흑당라떼(ICE),1
2021-03-08,식료,아이스티,1
2021-03-08,식료,자두주스(ICE),2
2021-03-08,식료,스위티자몽(HOT),1
2021-03-08,식료,스위티자몽(ICE),1
2021-03-08,식료,청포도주스(ICE),2
2021-03-08,식료,아메리카노(HOT),15
2021-03-08,식료,아메리카노(ICE),13
2021-03-09,식료,카페라떼(HOT),4
2021-03-09,식료,카페라떼(ICE),1
2021-03-09,식료,바닐라라떼(ICE),1
2021-03-09,식료,카페모카(ICE),1
2021-03-09,식료,아이스티,1
2021-03-09,식료,자두주스(ICE),1
2021-03-09,식료,스위티자몽(HOT),2
2021-03-09,식료,스위티자몽(ICE),1
2021-03-09,식료,청포도주스(ICE),3
2021-03-09,식료,아메리카노(HOT),16
2021-03-09,식료,아메리카노(ICE),11
2021-03-10,식료,카페라떼(HOT),1
2021-03-10,식료,카페라떼(ICE),2
2021-03-10,식료,카푸치노(HOT),1
2021-03-10,식료,바닐라라떼(HOT),2
2021-03-10,식료,초코라떼(HOT),3
2021-03-10,식료,초코라떼(ICE),3
2021-03-10,식료,청포도주스(ICE),3
2021-03-10,식료,아메리카노(HOT),17
2021-03-10,식료,아메리카노(ICE),10
2021-03-11,식료,카페라떼(HOT),5
2021-03-11,식료,카페라떼(ICE),1
2021-03-11,식료,카푸치노(HOT),2
2021-03-11,식료,바닐라라떼(HOT),3
2021-03-11,식료,카페모카(HOT),1
2021-03-11,식료,아이스티,2
2021-03-11,식료,자두주스(ICE),1
2021-03-11,식료,청포도주스(ICE),4
2021-03-11,식료,아메리카노(HOT),22
2021-03-11,식료,아메리카노(ICE),16
2021-03-12,식료,카페라떼(HOT),7
2021-03-12,식료,카페라떼(ICE),2
2021-03-12,식료,카푸치노(HOT),2
2021-03-12,식료,바닐라라떼(HOT),3
2021-03-12,식료,카페모카(HOT),3
2021-03-12,식료,카페모카(ICE),2
2021-03-12,식료,초코라떼(HOT),4
2021-03-12,식료,초코라떼(ICE),1
2021-03-12,식료,아이스티,4
2021-03-12,식료,자두주스(ICE),1
2021-03-12,식료,스위티자몽(HOT),1
2021-03-12,식료,청포도주스(ICE),7
2021-03-12,식료,아메리카노(HOT),18
2021-03-12,식료,아메리카노(ICE),18
2021-03-13,식료,카페라떼(HOT),3
2021-03-13,식료,카페라떼(ICE),5
2021-03-13,식료,카푸치노(HOT),3
2021-03-13,식료,바닐라라떼(ICE),2
2021-03-13,식료,카페모카(HOT),1
2021-03-13,식료,카페모카(ICE),1
2021-03-13,식료,초코라떼(HOT),2
2021-03-13,식료,초코라떼(ICE),1
2021-03-13,식료,그린티라떼(HOT) ,2
2021-03-13,식료,흑당라떼(HOT),1
2021-03-13,식료,흑당라떼(ICE),2
2021-03-13,식료,아이스티,2
2021-03-13,식료,자두주스(ICE),4
2021-03-13,식료,스위티자몽(HOT),4
2021-03-13,식료,스위티자몽(ICE),1
2021-03-13,식료,청포도주스(ICE),6
2021-03-13,식료,아메리카노(HOT),32
2021-03-13,식료,아메리카노(ICE),14
2021-03-14,식료,카페라떼(HOT),9
2021-03-14,식료,카페라떼(ICE),6
2021-03-14,식료,카푸치노(HOT),1
2021-03-14,식료,바닐라라떼(HOT),5
2021-03-14,식료,바닐라라떼(ICE),1
2021-03-14,식료,카페모카(HOT),2
2021-03-14,식료,카페모카(ICE),1
2021-03-14,식료,초코라떼(HOT),3
2021-03-14,식료,초코라떼(ICE),2
2021-03-14,식료,그린티라떼(ICE) ,2
2021-03-14,식료,흑당라떼(ICE),1
2021-03-14,식료,아이스티,3
2021-03-14,식료,자두주스(ICE),1
2021-03-14,식료,스위티자몽(HOT),1
2021-03-14,식료,스위티자몽(ICE),2
2021-03-14,식료,청포도주스(ICE),3
2021-03-14,식료,아메리카노(HOT),22
2021-03-14,식료,아메리카노(ICE),31
2021-03-15,식료,카페라떼(HOT),4
